1663883119.000000, 1663883119.000000, 1663883119.000000
32.000000, 32.000000, 32.000000
-39,18,47
-39,18,45
-39,17,46
-37,17,47
-36,17,49
-35,16,51
-32,20,59
-41,22,56
-43,21,53
-35,23,48
-30,22,46
-26,20,42
-26,19,40
-26,19,37
-25,18,36
-27,15,41
-63,20,76
-53,25,65
-36,14,40
-37,16,45
-31,19,50
-31,20,53
-34,20,49
-35,19,47
-36,20,49
-37,21,50
-36,20,47
-38,20,48
-37,19,45
-36,19,45
-35,18,46
-38,18,49
-39,18,47
-39,17,46
-39,17,48
-38,17,49
-36,15,48
-35,14,48
-36,13,49
-35,14,50
-33,15,51
-33,15,51
-35,16,50
-36,16,50
-35,15,49
-34,13,49
-35,13,50
-39,15,52
-51,13,45
-43,10,47
-40,9,47
-41,10,38
-44,12,38
-51,13,37
-51,12,38
-49,10,40
-50,9,39
-49,9,40
-45,11,41
-44,10,41
-43,11,41
-42,12,42
-32,16,52
-31,15,64
-25,13,55
-34,12,51
-39,13,47
-43,12,45
-43,12,46
-40,11,47
-39,11,47
-39,10,47
-39,10,49
-39,10,48
-40,12,47
-40,12,47
-39,12,48
-38,12,48
-38,11,48
-39,10,48
-39,11,48
-39,11,47
-40,12,47
-40,12,47
-40,12,47
-39,12,47
-39,12,47
-39,12,47
-39,12,47
-39,12,48
-39,12,48
-38,12,48
-39,12,47
-39,12,47
-39,12,48
-39,12,48
-39,13,47
-39,12,47
-39,13,47
-40,13,47
-39,13,47
-39,13,47
-39,13,47
-38,13,47
-38,13,47
-38,13,48
-39,14,48
-40,14,47
-41,15,46
-40,14,46
-38,14,47
-37,14,48
-38,15,48
-38,16,48
-40,17,47
-41,16,47
-40,16,47
-39,15,47
-38,13,47
-38,12,47
-38,12,47
-40,14,46
-40,15,47
-39,16,47
-38,16,47
-38,16,48
-38,15,48
-38,15,47
-39,14,47
-39,14,47
-39,14,46
-39,14,46
-39,15,47
-38,15,47
-38,15,47
-39,16,47
-38,15,47
-38,15,47
-39,15,47
-38,17,47
-38,17,47
-39,18,47
-39,18,47
-37,16,47
-36,15,48
-36,14,48
-36,14,48
-38,14,47
-39,15,47
-39,16,47
-40,17,46
-40,17,47
-39,17,47
-39,17,47
-38,15,47
-37,15,47
-38,16,46
-42,15,45
-42,15,44
-41,17,44
-39,17,45
-39,18,46
-39,18,47
-39,18,46
-39,17,46
-39,17,47
-39,17,46
-40,17,45
-40,16,46
-39,16,46
-39,17,46
-39,17,46
-38,14,46
-38,15,46
-37,17,46
-40,19,45
-41,20,45
-43,19,44
-42,19,44
-41,18,44
-41,18,45
-40,17,45
-40,17,45
-38,17,46
-38,18,47
-38,18,47
-39,18,46
-39,17,47
-38,17,46
-39,17,45
-40,17,45
-40,18,45
-39,18,47
-38,18,47
-39,17,46
-39,17,47
-40,17,47
-43,17,50
-38,15,36
-45,21,56
-43,18,48
-36,16,48
-35,16,49
-34,15,48
-34,14,51
-34,13,49
-37,13,49
-37,13,49
-39,14,48
-39,14,47
-39,14,47
-40,14,47
-39,14,47
-39,14,47
-38,14,47
-38,14,48
-39,14,47
-38,13,47
-38,13,47
-38,14,48
-38,14,48
-38,14,48
-39,14,47
-39,14,47
-39,14,47
-39,13,47
-39,14,48
-38,14,47
-38,15,47
-38,16,47
-37,15,48
-37,14,48
-37,14,48
-37,14,49
-37,14,48
-39,14,47
-39,15,48
-38,14,48
-38,14,48
-38,15,48
-37,15,48
-37,14,48
-38,14,48
-38,14,48
-38,15,48
-38,16,48
-38,16,48
-38,15,48
-38,14,48
-37,14,48
-37,13,48
-37,13,48
-37,14,48
-38,15,48
-37,15,48
-37,16,49
-37,16,49
-37,16,49
-37,16,49
-38,16,48
-38,15,48
-38,15,48
-37,15,48
-36,16,48
-37,15,48
-37,15,48
-37,16,48
-37,16,47
-38,14,47
-41,19,50
-43,21,52
-36,19,49
-32,19,47
-30,17,47
-32,18,50
-32,21,51
-32,21,50
-35,20,47
-33,21,51
-35,21,53
-38,20,49
-38,17,44
-33,15,42
-34,14,44
-37,16,47
-38,16,46
-39,16,49
-40,15,49
-38,13,48
-36,15,47
-37,16,47
-39,15,44
-41,13,44
-47,12,48
-50,13,52
-40,14,64
-39,12,63
-41,4,48
-36,-3,46
-39,-3,47
-46,-4,44
-49,-3,41
-44,-3,39
-40,-2,37
-30,-4,38
-26,-5,39
-31,-5,37
-43,-7,38
-44,-6,43
-40,2,43
-38,8,39
-49,18,40
-60,21,48
-69,25,51
-58,20,42
-40,12,38
-47,10,43
-52,10,43
-51,14,36
-51,15,35
-51,19,35
-50,17,39
-47,14,40
-45,12,41
-45,9,40
-46,11,39
-46,12,40
-47,14,40
-48,16,40
-50,15,41
-52,13,39
-54,11,38
-56,12,36
-46,9,39
-45,8,40
-50,5,43
-44,2,43
-40,2,41
-37,0,42
-37,0,44
-38,1,45
-38,3,45
-37,7,51
-37,9,54
-40,10,52
-45,9,46
-46,8,44
-43,7,44
-44,6,42
-47,5,43
-47,5,44
-43,5,45
-43,5,44
-43,5,44
-43,5,44
-43,6,44
-45,7,43
-46,7,42
-48,8,42
-47,8,43
-45,6,44
-43,6,44
-43,7,45
-42,7,45
-42,7,45
-42,6,45
-42,6,45
-43,6,44
-44,7,44
-45,8,43
-45,8,44
-44,8,44
-45,8,43
-45,8,43
-45,10,44
-45,11,44
-45,13,44
-45,13,43
-45,11,44
-44,11,44
-42,9,44
-42,8,45
-41,8,45
-42,9,46
-43,9,44
-44,9,45
-43,9,47
-40,7,41
-34,11,47
-44,11,47
-42,11,45
-46,10,43
-45,10,43
-43,9,44
-44,8,44
-43,8,45
-42,8,44
-42,9,44
-45,10,44
-46,10,43
-47,11,41
-47,11,41
-48,11,41
-46,11,41
-46,11,42
-45,10,43
-45,9,42
-46,8,42
-46,8,41
-46,9,41
-46,10,42
-47,10,41
-47,10,41
-46,11,41
-46,11,43
-45,12,44
-45,11,41
-43,11,41
-47,10,44
-44,8,42
-44,8,41
-46,10,42
-46,11,41
-47,12,41
-46,12,42
-45,11,43
-44,11,43
-44,11,43
-46,10,42
-45,11,42
-47,12,41
-46,12,41
-45,12,42
-45,12,42
-45,12,42
-46,12,41
-46,12,41
-45,13,43
-45,13,43
-45,13,42
-45,13,42
-46,12,41
-45,12,42
-44,12,43
-44,11,42
-45,12,42
-45,12,42
-45,13,43
-44,14,43
-45,14,43
-44,13,43
-44,13,43
-45,12,42
-44,12,43
-43,13,43
-44,13,43
-43,13,43
-44,13,43
-44,13,43
-44,13,43
-45,13,43
-45,13,43
-44,13,43
-44,12,43
-44,13,43
-45,13,43
-45,12,42
-46,12,41
-46,11,43
-44,11,42
-45,11,42
-44,11,43
-45,11,42
-45,12,43
-45,12,43
-45,12,42
-45,12,42
-45,11,42
-45,11,42
-46,12,42
-45,12,42
-45,11,42
-45,11,43
-46,10,42
-46,10,42
-46,10,42
-45,11,42
-45,11,42
-45,11,42
-45,12,43
-44,12,43
-44,12,43
-44,11,43
-44,11,43
-44,11,43
-45,11,43
-45,11,43
-45,11,42
-45,11,43
-44,11,43
-45,11,43
-44,11,43
-44,11,43
-44,11,43
-44,11,43
-44,11,43
-45,11,43
-44,11,43
-44,11,43
-44,11,43
-44,11,43
-44,11,43
-45,11,43
-45,11,43
-44,11,43
-44,11,43
-44,11,43
-44,11,43
-45,11,43
-44,11,43
-44,11,43
-44,11,44
-45,11,43
-45,11,43
-45,11,43
-45,11,43
-45,11,43
-44,11,43
-44,11,43
-44,11,43
-45,11,43
-44,11,43
-44,11,43
-44,10,43
-44,10,43
-45,11,43
-44,11,44
-44,11,44
-44,11,44
-44,11,43
-44,11,43
-44,11,44
-44,11,44
-44,11,44
-44,10,44
-44,10,44
-45,10,43
-44,10,43
-45,10,43
-44,10,43
-44,11,43
-44,10,43
-44,11,43
-44,11,44
-44,11,44
-44,11,43
-44,11,43
-44,10,44
-44,10,43
-44,10,43
-44,10,43
-44,10,44
-44,10,44
-44,10,44
-43,10,44
-43,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,43
-44,11,44
-44,10,44
-44,10,43
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,43
-44,11,43
-44,11,43
-44,10,44
-44,11,44
-44,10,43
-44,10,43
-44,11,44
-44,11,43
-44,11,44
-44,10,44
-44,10,43
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,11,44
-44,11,44
-44,10,44
-44,11,44
-44,11,44
-44,11,44
-43,11,44
-44,11,44
-44,10,44
-44,11,44
-44,11,44
-44,11,44
-44,11,44
-44,11,44
-43,11,44
-44,11,44
-44,11,44
-44,11,44
-43,11,44
-43,11,44
-44,11,44
-44,11,44
-44,11,44
-44,11,44
-44,11,44
-44,11,43
-44,11,44
-43,11,44
-44,11,43
-44,11,43
-44,11,44
-44,11,44
-43,11,44
-43,11,44
-44,11,44
-44,11,44
-44,11,44
-44,11,44
-44,11,44
-43,11,44
-44,11,44
-44,11,44
-44,11,44
-43,11,44
-43,11,44
-44,11,43
-44,11,44
-44,11,43
-44,11,44
-43,11,44
-44,11,44
-44,11,43
-44,11,44
-44,11,44
-44,11,43
-44,10,43
-44,11,44
-44,11,43
-44,11,44
-44,11,44
-44,11,43
-43,11,44
-43,11,44
-44,11,44
-44,10,44
-44,10,44
-44,11,44
-44,11,44
-44,11,44
-44,11,44
-44,11,44
-44,11,43
-44,11,44
-44,11,44
-43,11,44
-44,11,44
-44,11,44
-44,11,44
-44,10,44
-44,10,44
-44,10,44
-44,10,43
-44,10,43
-44,11,44
-43,11,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,10,44
-44,11,44
-44,11,44
-44,10,44
-44,10,44
-44,10,44
-44,11,44
-44,11,44
-44,11,44
-44,11,44
-44,10,44
-44,10,44
-44,10,44
-44,11,44
-44,10,44
-44,10,44
-44,10,44
-44,11,43
-44,10,44
-44,11,44
-43,10,44
-44,10,44
-44,10,44
-45,10,43
-45,10,43
-44,10,43
-44,10,44
-44,10,44
-44,10,43
-44,10,43
-44,10,44
-43,10,44
-43,10,44
-44,10,43
-46,11,43
-45,11,43
-43,11,44
-43,11,44
-44,11,44
-44,11,43
-44,11,44
-44,11,44
-44,11,44
-44,11,43
-43,11,44
-43,11,44
-44,11,43
-45,11,43
-44,11,43
-44,11,43
-43,11,44
-43,11,44
-44,11,44
-43,11,44
-44,11,44
-44,11,43
-44,11,44
-43,11,44
-44,11,44
-43,11,44
-44,11,44
-44,11,44
-44,11,44
-43,11,44
-44,11,44
-44,11,44
-44,11,44
-43,11,44
-43,11,44
-43,11,44
-44,11,44
-43,11,44
-44,11,44
-44,11,44
-43,12,44
-43,12,44
-43,12,44
-43,11,44
-44,11,44
-43,11,44
-43,11,44
-44,11,43
-44,11,43
-44,12,43
-43,12,44
-43,12,44
-44,12,44
-44,12,44
-43,11,44
-43,11,44
-44,11,44
-44,11,44
-44,11,44
-43,11,44
-44,11,43
-44,10,43
-44,11,44
-43,12,43
-44,11,43
-44,11,43
-44,11,44
-43,12,44
-43,12,44
-43,11,44
-43,11,44
-43,11,44
-44,11,43
-44,11,43
-44,11,44
-43,11,44
-43,11,44
-44,11,43
-44,11,43
-43,11,44
-43,11,44
-43,11,44
-43,11,44
-44,11,44
-44,11,44
-44,11,44
