1677187949.000000, 1677187949.000000, 1677187949.000000
32.000000, 32.000000, 32.000000
-16,11,-61
-16,11,-61
-16,11,-61
-17,11,-61
-17,11,-61
-17,11,-61
-16,11,-61
-17,11,-61
-17,11,-61
-17,11,-61
-17,11,-61
-17,11,-61
-17,11,-61
-17,11,-61
-17,11,-60
-18,11,-61
-19,10,-59
-17,12,-61
-18,10,-61
-18,10,-61
-18,11,-60
-18,11,-60
-18,11,-61
-18,10,-61
-18,10,-61
-18,11,-61
-18,10,-61
-18,11,-61
-18,11,-60
-18,11,-61
-18,10,-61
-18,10,-61
-18,10,-60
-18,11,-61
-19,10,-61
-18,10,-60
-18,11,-60
-19,11,-61
-18,11,-61
-19,10,-61
-19,10,-61
-19,11,-61
-19,11,-60
-19,10,-60
-19,10,-60
-19,11,-60
-18,11,-60
-18,11,-61
-19,11,-61
-18,11,-61
-18,11,-60
-19,11,-61
-19,11,-60
-19,11,-60
-19,11,-61
-19,11,-60
-18,11,-61
-18,11,-60
-19,11,-61
-19,11,-60
-19,10,-60
-19,10,-60
-19,10,-60
-19,11,-61
-19,11,-60
-19,11,-60
-19,11,-60
-19,10,-61
-19,11,-61
-19,10,-60
-20,11,-61
-19,11,-60
-19,11,-60
-19,11,-60
-19,11,-60
-19,11,-60
-19,11,-61
-20,10,-60
-20,11,-59
-21,13,-60
-21,12,-61
-22,9,-60
-21,9,-61
-22,12,-61
-24,11,-61
-32,12,-61
-34,10,-61
-38,6,-59
-41,7,-59
-50,7,-58
-54,6,-54
-66,4,-52
-63,0,-47
-62,-2,-43
-51,-11,-30
-49,-16,-23
-41,-20,-13
-40,-23,-5
-37,-30,14
-37,-31,16
-35,-33,27
-38,-33,34
-37,-33,35
-42,-33,37
-41,-33,37
-38,-32,40
-35,-31,44
-38,-31,42
-40,-31,41
-38,-30,42
-37,-30,42
-34,-30,42
-35,-31,40
-36,-31,40
-36,-30,40
-35,-30,41
-37,-30,41
-38,-30,41
-37,-30,41
-36,-31,42
-36,-31,43
-35,-30,43
-35,-30,43
-35,-31,43
-34,-31,43
-36,-31,42
-36,-31,43
-36,-30,42
-36,-31,42
-36,-31,42
-33,-31,42
-33,-31,42
-35,-31,41
-35,-32,42
-36,-31,40
-36,-31,41
-36,-30,43
-34,-30,44
-34,-30,44
-34,-32,43
-34,-32,43
-33,-31,42
-33,-31,42
-32,-31,42
-32,-31,42
-26,-31,42
-28,-31,39
-31,-34,35
-34,-35,12
-47,-35,2
-59,-33,-10
-52,-31,-10
-75,-24,-22
-96,-19,-25
-83,-16,-17
-71,-13,-6
-52,-7,14
-45,-9,21
-59,-11,16
-56,-17,14
-53,-30,0
-55,-28,16
-58,-28,8
-60,-26,13
-63,-24,13
-59,-22,17
-58,-21,18
-54,-21,21
-54,-21,22
-55,-22,23
-53,-22,26
-51,-22,27
-48,-22,32
-48,-21,34
-44,-21,39
-42,-21,40
-41,-21,41
-42,-21,41
-44,-22,41
-43,-22,40
-44,-22,39
-44,-23,38
-46,-22,36
-54,-20,35
-53,-20,36
-47,-19,37
-49,-16,32
-46,-20,38
-43,-21,41
-47,-19,38
-44,-20,40
-44,-21,39
-42,-21,41
-41,-22,41
-36,-21,45
-36,-17,49
-34,-16,51
-29,-15,53
-28,-16,54
-26,-18,51
-27,-20,52
-26,-19,53
-25,-18,56
-18,-15,59
-16,-16,58
-16,-18,57
-10,-19,58
-13,-19,56
-11,-17,58
-11,-15,62
-11,-11,61
-10,-11,62
-12,-12,62
-14,-12,60
-9,-13,61
-4,-12,62
4,-10,63
2,-10,62
-12,-10,57
-42,-3,34
-54,-5,22
-66,-11,7
-72,-13,-11
-69,-12,-20
-50,-10,-33
-50,-9,-40
-46,-5,-44
-46,-3,-49
-48,1,-52
-44,2,-51
-41,4,-52
-36,4,-51
-33,6,-54
-31,5,-55
-29,6,-61
-23,9,-59
-29,13,-63
-21,13,-61
-20,12,-61
-19,10,-60
-22,11,-64
-23,11,-67
-16,9,-64
-19,9,-57
-21,9,-63
-17,11,-59
-24,5,-59
-27,8,-54
-32,8,-54
-35,10,-56
-37,9,-55
-35,7,-53
-36,6,-56
-36,7,-54
-37,7,-53
-37,8,-53
-39,9,-52
-29,7,-51
-28,8,-56
-27,9,-60
-27,9,-58
-25,8,-60
-24,9,-60
-24,9,-59
-24,9,-59
-23,12,-59
-24,14,-60
-23,4,-58
-21,6,-61
-22,9,-61
-16,4,-63
-21,9,-63
-21,12,-58
-20,12,-55
-22,14,-56
-20,10,-57
-22,11,-60
-21,11,-62
-24,9,-62
-25,8,-61
-26,9,-60
-25,10,-57
-23,11,-58
-23,11,-58
-23,11,-60
-24,11,-59
-23,11,-59
-23,11,-59
-24,11,-59
-24,11,-58
-23,11,-58
-23,12,-59
-21,11,-59
-30,14,-61
-24,11,-58
-26,9,-60
-24,9,-58
-27,9,-64
-29,9,-61
-27,7,-59
-31,8,-58
-32,7,-57
-38,10,-55
-38,9,-55
-37,9,-45
-37,6,-42
-43,7,-39
-45,0,-33
-43,-2,-32
-47,-3,-32
-48,-6,-30
-53,-8,-34
-54,-8,-35
-55,-7,-38
-53,-8,-39
-51,-5,-42
-49,-7,-45
-50,-3,-47
-47,-5,-47
-40,-6,-47
-53,-8,-51
-51,-9,-49
-45,-17,-49
-45,-17,-48
-47,-16,-47
-47,-13,-48
-46,-7,-45
-45,-6,-43
-39,-5,-40
-40,-6,-38
-42,-7,-40
-46,-8,-44
-46,-9,-47
-45,-10,-49
-45,-10,-50
-44,-9,-50
-43,-7,-49
-44,-6,-49
-44,-5,-47
-42,-3,-50
-35,-5,-50
-37,-6,-50
-40,-7,-49
-40,-8,-50
-42,-7,-55
-43,-6,-54
-42,-5,-50
-40,-3,-49
-40,-3,-49
-38,-3,-49
-39,-2,-51
-39,-1,-53
-40,0,-54
-38,0,-52
-38,0,-51
-39,0,-51
-38,0,-52
-39,0,-52
-38,0,-52
-39,1,-52
-38,0,-52
-37,0,-51
-38,0,-51
-39,0,-52
-39,0,-52
-39,1,-53
-39,2,-54
-38,2,-54
-36,2,-54
-35,2,-53
-35,2,-52
-37,2,-51
-38,2,-52
-38,2,-53
-38,2,-52
-37,1,-52
-37,1,-53
-36,1,-53
-35,2,-53
-35,2,-53
-35,3,-53
-37,3,-53
-37,4,-54
-37,4,-54
-36,4,-53
-35,4,-53
-35,3,-53
-36,3,-54
-36,3,-54
-37,3,-54
-36,3,-54
-36,3,-54
-36,3,-54
-35,3,-53
-35,3,-53
-36,3,-54
-36,4,-54
-36,4,-54
-36,3,-54
-36,3,-53
-36,3,-54
-36,3,-54
-36,4,-54
-36,4,-54
-36,4,-54
-35,4,-54
-35,4,-54
-35,4,-54
-35,4,-53
-36,3,-54
-36,3,-54
-36,4,-54
-36,4,-54
